Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
462	-8114.21	-8370.937	256.7272	0.7669235	1.700249	0.5515948	8.399285
468	-8120.989	-8378.808	257.8197	0.7947266	1.747704	0.5515948	7.785574
474	-8120.5	-8379.057	258.5577	0.8323972	1.953572	0.5595764	7.294786
480	-8116.644	-8374.149	257.5054	0.8323972	1.953572	0.5595764	7.858164
486	-8115.393	-8374.572	259.1789	0.9386682	1.664002	0.5506423	7.010072
492	-8124.778	-8383.91	259.1317	0.8638936	1.840228	0.5506423	7.013961
498	-8138.845	-8397.365	258.5195	0.9323211	1.689619	0.4711941	7.428032
504	-8146.726	-8407.028	260.302	0.9588794	1.513722	0.514353	6.480635
510	-8139.489	-8398.367	258.8785	0.9139835	1.82894	0.514353	7.157922
516	-8142.883	-8404.319	261.4358	0.9336823	1.684869	0.514353	5.812091
522	-8117.168	-8376.481	259.3131	0.9858349	1.866574	0.4985757	6.886562
528	-8114.641	-8373.655	259.0134	0.9111519	1.446828	0.6314888	7.133428
534	-8133.341	-8393.469	260.1281	0.9094763	1.723521	0.610814	6.443252
540	-8139.163	-8397.971	258.8088	0.8999328	1.878936	0.4680062	7.22792
546	-8124.363	-8383.673	259.3096	0.8738423	1.878936	0.5469314	6.902885
552	-8137.889	-8395.037	257.1479	0.8332883	1.9021	0.5643013	8.061129
558	-8131.681	-8389.956	258.2754	0.8332883	1.542446	0.5643013	7.585935
564	-8106.615	-8365.571	258.9561	0.9138795	1.778461	0.5469692	7.105706
570	-8114.874	-8373.413	258.5393	0.9363905	1.802351	0.6176232	7.252949
576	-8121.11	-8380.391	259.281	0.9273154	1.724902	0.5532893	6.937064
582	-8132.338	-8392.119	259.781	0.9259155	1.724733	0.6341173	6.603986
588	-8153.827	-8413.871	260.0438	0.8795131	1.724733	0.5583689	6.546802
594	-8136.748	-8396	259.2517	0.8667412	1.814559	0.5532893	6.954307
600	-8135.022	-8392.49	257.4688	0.7420683	1.678863	0.6643779	7.938508
606	-8137.06	-8394.027	256.9678	0.7926852	1.678863	0.6643779	8.17859
612	-8126.526	-8384.3	257.7739	0.8526522	1.655923	0.6708559	7.720136
618	-8123.793	-8383.568	259.7743	0.8598982	1.805261	0.6056021	6.637004
624	-8115.786	-8375.556	259.7692	0.8749905	1.805261	0.5987723	6.637004
630	-8128.31	-8385.717	257.4068	0.8249102	1.69358	0.5969099	7.972662
636	-8125.39	-8383.581	258.1915	0.8117994	1.755242	0.5957933	7.539439
642	-8133.545	-8392.666	259.1214	0.9103625	1.755242	0.5529247	7.021756
648	-8131.415	-8390.813	259.3976	0.748465	1.549482	0.5529247	7.035776
654	-8130.33	-8389.372	259.0421	0.8892316	1.872677	0.5529247	7.035776
660	-8106.664	-8366.761	260.0976	0.865058	1.77736	0.5018014	6.555549
666	-8107.599	-8367.335	259.7361	0.8704467	1.795337	0.5018014	6.741871
672	-8128.027	-8386.092	258.0655	0.8442075	1.795337	0.6525308	7.532745
678	-8111.136	-8370.84	259.7041	0.8924598	1.506755	0.5205689	6.837111
684	-8110.733	-8370.243	259.5109	0.9472704	1.515852	0.5205689	6.908168
690	-8109.486	-8369.39	259.9035	0.9686857	1.658123	0.5535977	6.602549
696	-8113.389	-8373.828	260.4393	0.9256222	1.564659	0.6803612	6.272462
702	-8124.616	-8385.481	260.8646	0.8982583	1.910491	0.6457927	5.957616
708	-8104.843	-8364.894	260.0513	0.9156865	1.824357	0.5176114	6.523032
714	-8105.562	-8366.094	260.5322	0.9731612	1.911907	0.5342633	6.187004
720	-8123.478	-8381.401	257.9235	0.8324943	1.870036	0.5342633	7.682835
726	-8112.359	-8371.652	259.2933	0.8083176	1.870036	0.6149659	6.895378
732	-8125.266	-8381.762	256.4959	0.8083176	1.618213	0.6278966	8.470081
738	-8130.312	-8386.506	256.1936	0.7481852	1.618213	0.6278966	8.662518
744	-8116.871	-8376.041	259.1695	0.8726237	1.574125	0.5594625	7.076876
750	-8129.734	-8387.728	257.9941	0.8564677	1.746497	0.5594625	7.653253
756	-8124.929	-8384.113	259.1844	0.8655837	1.44856	0.5715953	7.112037
762	-8115.336	-8373.256	257.9195	0.8255934	1.752222	0.5715953	7.697857
768	-8120.395	-8377.687	257.2918	0.7971344	1.486922	0.5715953	8.146152
774	-8136.206	-8394.639	258.4328	0.892827	1.880011	0.6073764	7.315308
780	-8147.805	-8404.922	257.1173	0.8081054	1.950694	0.6570691	8.004162
786	-8136.179	-8394.057	257.8784	0.7876438	1.950694	0.532447	7.70624
792	-8118.3	-8377.631	259.3306	0.8295774	1.670257	0.532447	7.000143
798	-8124.893	-8383.701	258.808	0.7860855	1.670257	0.5602311	7.281289
804	-8115.028	-8373.84	258.8121	0.839134	1.670257	0.5236627	7.281289
810	-8122.208	-8380.628	258.4197	0.8451022	1.670257	0.8213257	7.272611
816	-8119.009	-8377.521	258.5122	0.883515	1.386275	0.8042942	7.323551
822	-8107.951	-8366.768	258.8168	0.8719697	1.386275	0.6403332	7.278477
828	-8106.729	-8364.642	257.9138	0.780932	1.789251	0.6301592	7.666493
834	-8124.144	-8382.86	258.716	0.8752633	1.456264	0.5839424	7.345443
840	-8104.645	-8363.431	258.786	0.8394069	1.489392	0.5251982	7.362395
846	-8115.948	-8374.982	259.0338	0.9296495	1.750475	0.5251982	7.083604
852	-8114.588	-8373.011	258.4235	0.8557193	1.750475	0.5212429	7.454385
858	-8131.851	-8391.268	259.4169	0.8226537	1.379699	0.583844	7.028686
864	-8115.336	-8374.075	258.7385	0.8385318	1.579355	0.5674734	7.318229
870	-8128.118	-8384.556	256.4375	0.6804415	1.579355	0.5674734	8.630213
876	-8128.688	-8386.93	258.2428	0.8002968	1.620132	0.5360878	7.615059
882	-8124.257	-8382.886	258.6294	0.8079741	1.437352	0.643211	7.390116
888	-8128.383	-8385.454	257.071	0.7954185	1.437352	0.5839026	8.274593
894	-8119.545	-8376.659	257.114	0.8058554	1.565507	0.5075904	8.259299
900	-8124.822	-8383.206	258.3838	0.8314713	1.431651	0.529091	7.601994
906	-8113.82	-8371.952	258.1317	0.7816836	1.727897	0.5895797	7.601994
912	-8104.45	-8364.021	259.5705	0.9419146	1.825261	0.5323262	6.755822
918	-8103.947	-8362.872	258.9253	0.9035932	1.565506	0.6052416	7.158221
924	-8111.612	-8369.778	258.1661	0.8702529	1.710108	0.5500166	7.574421
930	-8137.231	-8395.326	258.0948	0.8745481	1.799754	0.5904624	7.546464
936	-8140.674	-8398.655	257.9809	0.7613172	1.476744	0.5648707	7.807073
942	-8133.363	-8391.191	257.8285	0.7729382	1.535665	0.5629942	7.860787
948	-8131.94	-8389.377	257.4372	0.7331351	1.549916	0.5652925	8.083441
954	-8129.27	-8386.792	257.5225	0.7396044	1.425709	0.5652925	8.083441
960	-8133.361	-8391.153	257.7917	0.7550979	1.425709	0.6442997	7.870619
966	-8141.204	-8396.762	255.5572	0.7369054	1.425709	0.5740441	9.121238
972	-8128	-8386.52	258.52	0.802021	1.66633	0.6038099	7.393951
978	-8119.999	-8378.142	258.1431	0.8142135	1.801194	0.5950228	7.548824
984	-8127.5	-8386.59	259.0898	0.8368754	1.801194	0.5301308	7.081619
990	-8131.876	-8390.264	258.3877	0.8022769	1.455307	0.5301308	7.60509
996	-8120.844	-8377.965	257.1209	0.7934716	1.592638	0.5301308	8.232685
1002	-8117.215	-8375.418	258.2031	0.7934716	1.592638	0.5396317	7.647237
1008	-8122.574	-8381.951	259.3767	0.8892123	1.592638	0.6475621	6.880552
1014	-8119.6	-8377.983	258.3834	0.848008	1.61597	0.6856258	7.400406
1020	-8133.049	-8392.607	259.5579	0.9409623	1.893999	0.6856258	6.620541
1026	-8119.904	-8378.32	258.4154	0.8421456	1.830946	0.4677037	7.486244
1032	-8123.439	-8381.329	257.8909	0.8117277	1.548992	0.6213709	7.755812
1038	-8125.842	-8384.521	258.6788	0.8431657	1.548992	0.5522413	7.371857
1044	-8110.07	-8367.812	257.7418	0.7874399	1.548992	0.5699211	7.888624
1050	-8125.872	-8383.75	257.878	0.7972674	1.796989	0.5314621	7.752857
1056	-8131.461	-8390.175	258.7132	0.9504669	1.62081	0.5314621	7.286089
1062	-8122.39	-8380.496	258.1065	0.8318607	1.62081	0.7377456	7.519765
1068	-8116.782	-8374.623	257.8405	0.8688782	1.471942	0.7377456	7.699478
1074	-8115.13	-8373.274	258.1444	0.750935	1.518137	0.5766561	7.699478
1080	-8113.396	-8371.506	258.1103	0.8083916	1.413183	0.6144181	7.699478
1086	-8108.706	-8366.874	258.1681	0.822206	1.413183	0.5657465	7.699478
1092	-8100.617	-8358.559	257.9413	0.7738762	1.731703	0.5436989	7.743855
1098	-8106.39	-8364.3	257.9096	0.8055324	1.731703	0.5436989	7.743855
1104	-8140.129	-8398.626	258.4974	0.7986437	1.435636	0.6303068	7.476224
1110	-8129.292	-8387.257	257.9652	0.8000614	1.617025	0.5268367	7.772611
1116	-8132.284	-8388.665	256.381	0.7553273	1.752194	0.5677203	8.558109
1122	-8117.587	-8374.169	256.5822	0.7848771	1.752194	0.5677203	8.435522
1128	-8120.924	-8376.869	255.9458	0.8703076	1.480475	0.5677203	8.828064
1134	-8117.734	-8375.48	257.7458	0.7788399	1.480475	0.5677203	7.919495
1140	-8118.805	-8378.174	259.3683	0.8518916	1.824394	0.5808603	6.873606
1146	-8123.756	-8381.051	257.2947	0.8892396	1.70192	0.6263443	7.972624
1152	-8110.457	-8370.141	259.6844	0.9604924	1.503754	0.4947219	6.835039
1158	-8123.734	-8381.701	257.9672	0.8156643	1.503754	0.5211939	7.811132
1164	-8131.869	-8389.307	257.4378	0.8420812	1.485145	0.727579	7.930511
1170	-8120.762	-8380.114	259.3526	0.8672613	1.485145	0.7843313	6.852549
1176	-8128.944	-8388.173	259.2289	0.9180346	1.586251	0.7843313	6.852549
1182	-8119.99	-8379.155	259.1654	0.9064029	1.467515	0.5098035	7.144704
1188	-8126.087	-8384.587	258.5	0.7960417	1.416483	0.4950137	7.594655
1194	-8150.03	-8408.506	258.4766	0.9588254	1.565227	0.4198724	7.532082
1200	-8117.794	-8376.531	258.7362	0.8769735	1.600681	0.5756726	7.284187
